CPU Sum of numbers,5,0.000001
CPU Sum of numbers,5,0.000001
CPU Sum of numbers,5,0.000001
CPU Sum of numbers,5,0.000001
CPU Sum of numbers,5,0.000001
CPU Sum of numbers,5,0.000001
CPU Sum of numbers,5,0.000001
CPU Sum of numbers,50,0.000001
CPU Sum of numbers,500,0.000001
CPU Sum of numbers,5.0,0.000001
CPU Sum of numbers,50.0,0.000001
CPU Sum of numbers,500.0,0.000002
CPU Sum of numbers,5,0.000001
CPU Sum of numbers,50,0.000001
CPU Sum of numbers,500,0.000002
CPU Sum of numbers,5000,0.000010
CPU Sum of numbers,50000,0.000085
CPU Sum of numbers,500000,0.001027
CPU Sum of numbers,5,0.000001
CPU Sum of numbers,50,0.000002
CPU Sum of numbers,500,0.000002
CPU Sum of numbers,5000,0.000010
CPU Sum of numbers,50000,0.000106
CPU Sum of numbers,500000,0.000875
CPU Sum of numbers,5,0.000001
CPU Sum of numbers,50,0.000000
CPU Sum of numbers,500,0.000002
CPU Sum of numbers,5000,0.000010
CPU Sum of numbers,50000,0.000090
CPU Sum of numbers,500000,0.000847
CPU Sum of numbers,5,0.000002
CPU Sum of numbers,50,0.000001
CPU Sum of numbers,500,0.000002
CPU Sum of numbers,5000,0.000009
CPU Sum of numbers,50000,0.000106
CPU Sum of numbers,500000,0.000914
CPU Sum of numbers,5000000,0.009096
CPU Sum of numbers,50000000,0.087118
