
addition,	Iteration count100,	mean 0.000059,	standard deviation 0.000001
addition,	Iteration count100,	mean 0.000040,	standard deviation 0.000003
addition,	Iteration count100,	mean 0.000037,	standard deviation 0.000000
addition,	Iteration count100,	mean 0.000038,	standard deviation 0.000002
addition,	Iteration count100,	mean 0.000038,	standard deviation 0.000002
addition,	Iteration count100,	mean 0.000039,	standard deviation 0.000003
addition,	Iteration count100,	mean 0.000041,	standard deviation 0.000006
addition,	Iteration count100,	mean 0.000042,	standard deviation 0.000007
addition,	Iteration count100,	mean 0.000054,	standard deviation 0.000023
addition,	Iteration count100,	mean 0.000045,	standard deviation 0.000007
addition,	Iteration count100,	mean 0.000043,	standard deviation 0.000008
addition,	Iteration count100,	mean 0.000042,	standard deviation 0.000007
addition,	Iteration count100,	mean 0.000040,	standard deviation 0.000005
